
model = GPT2

sentence = 'c a n <sp> y o u <sp> l i s t e n <sp> t o <sp> m e <sp> p l e a s e <sp> l o o k <sp> i n <sp> m y <sp> e y e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( h | _ ...) = 0.059450 [ -1.225849 ]
p( a | h ...) = 0.126789 [ -0.896918 ]
p( p | a ...) = 0.200359 [ -0.698192 ]
p( p | p ...) = 0.023319 [ -1.632289 ]
p( e | p ...) = 0.316146 [ -0.500112 ]
p( n | e ...) = 0.284189 [ -0.546393 ]
p( e | n ...) = 0.284507 [ -0.545907 ]
p( d | e ...) = 0.107683 [ -0.967853 ]
sum logprob = -25.8062, per-symbol logprob = -0.7168, ppl = 5.2100

sentence = 'i <sp> w i s h <sp> i <sp> c o u l d <sp> m a k e <sp> i t <sp> e a s i e r'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( i | w ...) = 0.136472 [ -0.864957 ]
p( s | i ...) = 0.037938 [ -1.420924 ]
p( h | s ...) = 0.049508 [ -1.305327 ]
p( _ | h ...) = 0.211212 [ -0.675281 ]
p( i | _ ...) = 0.107624 [ -0.968092 ]
p( _ | i ...) = 0.068370 [ -1.165136 ]
p( c | _ ...) = 0.135014 [ -0.869622 ]
p( o | c ...) = 0.281972 [ -0.549794 ]
p( u | o ...) = 0.303296 [ -0.518133 ]
p( l | u ...) = 0.311604 [ -0.506397 ]
p( d | l ...) = 0.023031 [ -1.637687 ]
p( _ | d ...) = 0.308552 [ -0.510672 ]
p( m | _ ...) = 0.051115 [ -1.291448 ]
p( a | m ...) = 0.241797 [ -0.616549 ]
p( k | a ...) = 0.268546 [ -0.570981 ]
p( e | k ...) = 0.150908 [ -0.821289 ]
p( _ | e ...) = 0.313188 [ -0.504195 ]
p( i | _ ...) = 0.092024 [ -1.036100 ]
p( t | i ...) = 0.301641 [ -0.520509 ]
p( _ | t ...) = 0.309531 [ -0.509296 ]
p( e | _ ...) = 0.073138 [ -1.135857 ]
p( a | e ...) = 0.236469 [ -0.626226 ]
p( s | a ...) = 0.064770 [ -1.188624 ]
p( i | s ...) = 0.238834 [ -0.621904 ]
p( e | i ...) = 0.233519 [ -0.631678 ]
p( r | e ...) = 0.253758 [ -0.595579 ]
sum logprob = -24.7211, per-symbol logprob = -0.8525, ppl = 7.1196

sentence = 'c a n <sp> y o u <sp> a n s w e r <sp> t h e <sp> p h o n e'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( a | _ ...) = 0.028615 [ -1.543408 ]
p( n | a ...) = 0.056234 [ -1.250001 ]
p( s | n ...) = 0.157627 [ -0.802370 ]
p( w | s ...) = 0.309822 [ -0.508887 ]
p( e | w ...) = 0.319040 [ -0.496155 ]
p( r | e ...) = 0.255995 [ -0.591768 ]
p( _ | r ...) = 0.313125 [ -0.504283 ]
p( t | _ ...) = 0.200688 [ -0.697480 ]
p( h | t ...) = 0.293283 [ -0.532713 ]
p( e | h ...) = 0.184106 [ -0.734932 ]
p( _ | e ...) = 0.244334 [ -0.612016 ]
p( p | _ ...) = 0.036770 [ -1.434508 ]
p( h | p ...) = 0.221883 [ -0.653876 ]
p( o | h ...) = 0.306334 [ -0.513805 ]
p( n | o ...) = 0.126090 [ -0.899321 ]
p( e | n ...) = 0.318583 [ -0.496777 ]
sum logprob = -19.3140, per-symbol logprob = -0.8048, ppl = 6.3790

sentence = 'h o w <sp> o l d <sp> a r e <sp> y o u'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( o | _ ...) = 0.087562 [ -1.057686 ]
p( l | o ...) = 0.033622 [ -1.473375 ]
p( d | l ...) = 0.295699 [ -0.529150 ]
p( _ | d ...) = 0.266244 [ -0.574721 ]
p( a | _ ...) = 0.112946 [ -0.947128 ]
p( r | a ...) = 0.200279 [ -0.698365 ]
p( e | r ...) = 0.318078 [ -0.497466 ]
p( _ | e ...) = 0.310609 [ -0.507786 ]
p( y | _ ...) = 0.222212 [ -0.653233 ]
p( o | y ...) = 0.315618 [ -0.500838 ]
p( u | o ...) = 0.311401 [ -0.506681 ]
sum logprob = -12.1390, per-symbol logprob = -0.8093, ppl = 6.4456

sentence = 'a r e <sp> y o u <sp> s i c k'
p( a | <s> ...) = 0.088923 [ -1.050985 ]
p( r | a ...) = 0.053246 [ -1.273710 ]
p( e | r ...) = 0.114348 [ -0.941771 ]
p( _ | e ...) = 0.237661 [ -0.624042 ]
p( y | _ ...) = 0.022004 [ -1.657501 ]
p( o | y ...) = 0.262537 [ -0.580809 ]
p( u | o ...) = 0.309145 [ -0.509838 ]
p( _ | u ...) = 0.227387 [ -0.643235 ]
p( s | _ ...) = 0.069696 [ -1.156789 ]
p( i | s ...) = 0.061803 [ -1.208993 ]
p( c | i ...) = 0.123380 [ -0.908756 ]
p( k | c ...) = 0.133084 [ -0.875875 ]
sum logprob = -11.4323, per-symbol logprob = -0.9527, ppl = 8.9679

sentence = 'd o <sp> y o u <sp> w a n t <sp> m e <sp> t o'
p( d | <s> ...) = 0.021963 [ -1.658304 ]
p( o | d ...) = 0.088513 [ -1.052991 ]
p( _ | o ...) = 0.100234 [ -0.998987 ]
p( y | _ ...) = 0.048232 [ -1.316667 ]
p( o | y ...) = 0.278332 [ -0.555437 ]
p( u | o ...) = 0.309633 [ -0.509153 ]
p( _ | u ...) = 0.254276 [ -0.594694 ]
p( w | _ ...) = 0.081590 [ -1.088365 ]
p( a | w ...) = 0.287582 [ -0.541239 ]
p( n | a ...) = 0.306193 [ -0.514005 ]
p( t | n ...) = 0.045942 [ -1.337786 ]
p( _ | t ...) = 0.313247 [ -0.504114 ]
p( m | _ ...) = 0.075728 [ -1.120743 ]
p( e | m ...) = 0.269672 [ -0.569163 ]
p( _ | e ...) = 0.311136 [ -0.507050 ]
p( t | _ ...) = 0.307753 [ -0.511798 ]
p( o | t ...) = 0.317276 [ -0.498563 ]
sum logprob = -13.8791, per-symbol logprob = -0.8164, ppl = 6.5526

sentence = 's o <sp> w h a t'
p( s | <s> ...) = 0.060403 [ -1.218943 ]
p( o | s ...) = 0.069337 [ -1.159036 ]
p( _ | o ...) = 0.144211 [ -0.841002 ]
p( w | _ ...) = 0.060300 [ -1.219683 ]
p( h | w ...) = 0.135957 [ -0.866597 ]
p( a | h ...) = 0.103177 [ -0.986417 ]
p( t | a ...) = 0.092123 [ -1.035630 ]
sum logprob = -7.3273, per-symbol logprob = -1.0468, ppl = 11.1367

sentence = 'g o o d <sp> l u c k'
p( g | <s> ...) = 0.047415 [ -1.324081 ]
p( o | g ...) = 0.083189 [ -1.079935 ]
p( o | o ...) = 0.116240 [ -0.934643 ]
p( d | o ...) = 0.249571 [ -0.602805 ]
p( _ | d ...) = 0.313471 [ -0.503802 ]
p( l | _ ...) = 0.024312 [ -1.614180 ]
p( u | l ...) = 0.025323 [ -1.596483 ]
p( c | u ...) = 0.057372 [ -1.241301 ]
p( k | c ...) = 0.281350 [ -0.550753 ]
sum logprob = -9.4480, per-symbol logprob = -1.0498, ppl = 11.2144

sentence = 't h i s <sp> i s <sp> a <sp> g r e a t <sp> p a r t y'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( i | h ...) = 0.083186 [ -1.079949 ]
p( s | i ...) = 0.104034 [ -0.982824 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.128610 [ -0.890726 ]
p( s | i ...) = 0.208952 [ -0.679953 ]
p( _ | s ...) = 0.295300 [ -0.529737 ]
p( a | _ ...) = 0.129095 [ -0.889091 ]
p( _ | a ...) = 0.207939 [ -0.682064 ]
p( g | _ ...) = 0.111860 [ -0.951325 ]
p( r | g ...) = 0.165846 [ -0.780296 ]
p( e | r ...) = 0.282982 [ -0.548241 ]
p( a | e ...) = 0.308264 [ -0.511077 ]
p( t | a ...) = 0.061440 [ -1.211547 ]
p( _ | t ...) = 0.309826 [ -0.508883 ]
p( p | _ ...) = 0.074638 [ -1.127041 ]
p( a | p ...) = 0.060256 [ -1.220000 ]
p( r | a ...) = 0.138537 [ -0.858435 ]
p( t | r ...) = 0.248649 [ -0.604414 ]
p( y | t ...) = 0.140625 [ -0.851936 ]
sum logprob = -17.0147, per-symbol logprob = -0.8102, ppl = 6.4599

sentence = 'h o w <sp> w a s <sp> y o u r <sp> w e e k e n d'
p( h | <s> ...) = 0.026060 [ -1.584030 ]
p( o | h ...) = 0.079238 [ -1.101066 ]
p( w | o ...) = 0.099177 [ -1.003587 ]
p( _ | w ...) = 0.313437 [ -0.503849 ]
p( w | _ ...) = 0.060486 [ -1.218346 ]
p( a | w ...) = 0.125955 [ -0.899786 ]
p( s | a ...) = 0.237613 [ -0.624130 ]
p( _ | s ...) = 0.296094 [ -0.528570 ]
p( y | _ ...) = 0.058671 [ -1.231574 ]
p( o | y ...) = 0.313980 [ -0.503098 ]
p( u | o ...) = 0.311186 [ -0.506979 ]
p( r | u ...) = 0.177225 [ -0.751476 ]
p( _ | r ...) = 0.307137 [ -0.512668 ]
p( w | _ ...) = 0.018919 [ -1.723104 ]
p( e | w ...) = 0.113939 [ -0.943326 ]
p( e | e ...) = 0.153064 [ -0.815126 ]
p( k | e ...) = 0.292376 [ -0.534058 ]
p( e | k ...) = 0.173760 [ -0.760049 ]
p( n | e ...) = 0.044173 [ -1.354848 ]
p( d | n ...) = 0.302181 [ -0.519733 ]
sum logprob = -17.6194, per-symbol logprob = -0.8810, ppl = 7.6027

sentence = 'd o <sp> y o u <sp> l i k e <sp> h i m'
p( d | <s> ...) = 0.021963 [ -1.658304 ]
p( o | d ...) = 0.088513 [ -1.052991 ]
p( _ | o ...) = 0.100234 [ -0.998987 ]
p( y | _ ...) = 0.048232 [ -1.316667 ]
p( o | y ...) = 0.278332 [ -0.555437 ]
p( u | o ...) = 0.309633 [ -0.509153 ]
p( _ | u ...) = 0.254276 [ -0.594694 ]
p( l | _ ...) = 0.050931 [ -1.293017 ]
p( i | l ...) = 0.268143 [ -0.571633 ]
p( k | i ...) = 0.280885 [ -0.551471 ]
p( e | k ...) = 0.318783 [ -0.496504 ]
p( _ | e ...) = 0.312840 [ -0.504677 ]
p( h | _ ...) = 0.055428 [ -1.256267 ]
p( i | h ...) = 0.169935 [ -0.769718 ]
p( m | i ...) = 0.197376 [ -0.704705 ]
sum logprob = -12.8342, per-symbol logprob = -0.8556, ppl = 7.1716

sentence = 'i <sp> w i s h <sp> y o u <sp> w e l l'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( i | w ...) = 0.136472 [ -0.864957 ]
p( s | i ...) = 0.037938 [ -1.420924 ]
p( h | s ...) = 0.049508 [ -1.305327 ]
p( _ | h ...) = 0.211212 [ -0.675281 ]
p( y | _ ...) = 0.066177 [ -1.179295 ]
p( o | y ...) = 0.315013 [ -0.501671 ]
p( u | o ...) = 0.311317 [ -0.506798 ]
p( _ | u ...) = 0.307001 [ -0.512860 ]
p( w | _ ...) = 0.135965 [ -0.866574 ]
p( e | w ...) = 0.181070 [ -0.742153 ]
p( l | e ...) = 0.177187 [ -0.751568 ]
p( l | l ...) = 0.309311 [ -0.509605 ]
sum logprob = -12.8959, per-symbol logprob = -0.8597, ppl = 7.2398

sentence = 'c a n <sp> y o u <sp> t a k e <sp> o u t <sp> m y <sp> c o n t a c t <sp> l e n s e s'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( t | _ ...) = 0.089790 [ -1.046773 ]
p( a | t ...) = 0.106810 [ -0.971387 ]
p( k | a ...) = 0.216122 [ -0.665301 ]
p( e | k ...) = 0.094808 [ -1.023157 ]
p( _ | e ...) = 0.313198 [ -0.504181 ]
p( o | _ ...) = 0.071941 [ -1.143026 ]
p( u | o ...) = 0.131140 [ -0.882266 ]
p( t | u ...) = 0.038897 [ -1.410087 ]
p( _ | t ...) = 0.310218 [ -0.508333 ]
p( m | _ ...) = 0.064723 [ -1.188939 ]
p( y | m ...) = 0.270358 [ -0.568061 ]
p( _ | y ...) = 0.312480 [ -0.505177 ]
p( c | _ ...) = 0.105336 [ -0.977425 ]
p( o | c ...) = 0.109925 [ -0.958905 ]
p( n | o ...) = 0.059841 [ -1.222999 ]
p( t | n ...) = 0.193449 [ -0.713433 ]
p( a | t ...) = 0.155135 [ -0.809290 ]
p( c | a ...) = 0.082894 [ -1.081476 ]
p( t | c ...) = 0.124031 [ -0.906470 ]
p( _ | t ...) = 0.182884 [ -0.737823 ]
p( l | _ ...) = 0.125774 [ -0.900410 ]
p( e | l ...) = 0.232395 [ -0.633773 ]
p( n | e ...) = 0.307134 [ -0.512672 ]
p( s | n ...) = 0.312241 [ -0.505510 ]
p( e | s ...) = 0.235200 [ -0.628563 ]
p( s | e ...) = 0.140012 [ -0.853835 ]
sum logprob = -28.9010, per-symbol logprob = -0.8500, ppl = 7.0799

sentence = 'i <sp> l i k e <sp> t o <sp> l i s t e n <sp> t o <sp> m y <sp> i p o d'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( l | _ ...) = 0.024201 [ -1.616171 ]
p( i | l ...) = 0.156923 [ -0.804313 ]
p( k | i ...) = 0.141730 [ -0.848538 ]
p( e | k ...) = 0.315526 [ -0.500964 ]
p( _ | e ...) = 0.257553 [ -0.589133 ]
p( t | _ ...) = 0.210171 [ -0.677427 ]
p( o | t ...) = 0.212228 [ -0.673197 ]
p( _ | o ...) = 0.309578 [ -0.509229 ]
p( l | _ ...) = 0.022297 [ -1.651750 ]
p( i | l ...) = 0.143722 [ -0.842476 ]
p( s | i ...) = 0.110268 [ -0.957549 ]
p( t | s ...) = 0.057406 [ -1.241042 ]
p( e | t ...) = 0.242797 [ -0.614758 ]
p( n | e ...) = 0.107257 [ -0.969574 ]
p( _ | n ...) = 0.312617 [ -0.504987 ]
p( t | _ ...) = 0.277855 [ -0.556181 ]
p( o | t ...) = 0.315430 [ -0.501097 ]
p( _ | o ...) = 0.312313 [ -0.505410 ]
p( m | _ ...) = 0.103358 [ -0.985658 ]
p( y | m ...) = 0.147714 [ -0.830579 ]
p( _ | y ...) = 0.287077 [ -0.542001 ]
p( i | _ ...) = 0.032717 [ -1.485226 ]
p( p | i ...) = 0.114859 [ -0.939835 ]
p( o | p ...) = 0.047895 [ -1.319708 ]
p( d | o ...) = 0.276486 [ -0.558328 ]
sum logprob = -23.1248, per-symbol logprob = -0.8565, ppl = 7.1858

sentence = 'w e l l <sp> i t <sp> s u r e <sp> l o o k s <sp> l i k e <sp> i t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( e | w ...) = 0.098921 [ -1.004710 ]
p( l | e ...) = 0.095828 [ -1.018507 ]
p( l | l ...) = 0.130919 [ -0.882997 ]
p( _ | l ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.105905 [ -0.975085 ]
p( t | i ...) = 0.082789 [ -1.082026 ]
p( _ | t ...) = 0.268551 [ -0.570973 ]
p( s | _ ...) = 0.060742 [ -1.216510 ]
p( u | s ...) = 0.047283 [ -1.325294 ]
p( r | u ...) = 0.159267 [ -0.797875 ]
p( e | r ...) = 0.245978 [ -0.609104 ]
p( _ | e ...) = 0.270572 [ -0.567717 ]
p( l | _ ...) = 0.089039 [ -1.050419 ]
p( o | l ...) = 0.311122 [ -0.507069 ]
p( o | o ...) = 0.315319 [ -0.501249 ]
p( k | o ...) = 0.034460 [ -1.462687 ]
p( s | k ...) = 0.270074 [ -0.568518 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( l | _ ...) = 0.217140 [ -0.663260 ]
p( i | l ...) = 0.314486 [ -0.502398 ]
p( k | i ...) = 0.306809 [ -0.513132 ]
p( e | k ...) = 0.319041 [ -0.496153 ]
p( _ | e ...) = 0.313382 [ -0.503927 ]
p( i | _ ...) = 0.121341 [ -0.915991 ]
p( t | i ...) = 0.301791 [ -0.520294 ]
sum logprob = -20.5346, per-symbol logprob = -0.7898, ppl = 6.1630

sentence = 'i <sp> n e e d <sp> a <sp> n a p k i n'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( n | _ ...) = 0.028200 [ -1.549746 ]
p( e | n ...) = 0.152956 [ -0.815432 ]
p( e | e ...) = 0.131768 [ -0.880190 ]
p( d | e ...) = 0.038858 [ -1.410525 ]
p( _ | d ...) = 0.190919 [ -0.719151 ]
p( a | _ ...) = 0.099621 [ -1.001648 ]
p( _ | a ...) = 0.234150 [ -0.630505 ]
p( n | _ ...) = 0.084732 [ -1.071954 ]
p( a | n ...) = 0.090303 [ -1.044297 ]
p( p | a ...) = 0.073115 [ -1.135992 ]
p( k | p ...) = 0.019697 [ -1.705593 ]
p( i | k ...) = 0.311889 [ -0.506000 ]
p( n | i ...) = 0.312668 [ -0.504917 ]
sum logprob = -14.8756, per-symbol logprob = -0.9917, ppl = 9.8108

sentence = 'i <sp> t h o u g h t <sp> i t <sp> w o u l d <sp> b e <sp> g o o d <sp> f o r <sp> m e'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( t | _ ...) = 0.118238 [ -0.927245 ]
p( h | t ...) = 0.226442 [ -0.645043 ]
p( o | h ...) = 0.060618 [ -1.217401 ]
p( u | o ...) = 0.222247 [ -0.653163 ]
p( g | u ...) = 0.269246 [ -0.569851 ]
p( h | g ...) = 0.086180 [ -1.064594 ]
p( t | h ...) = 0.235985 [ -0.627116 ]
p( _ | t ...) = 0.284052 [ -0.546603 ]
p( i | _ ...) = 0.123216 [ -0.909332 ]
p( t | i ...) = 0.278717 [ -0.554836 ]
p( _ | t ...) = 0.306465 [ -0.513619 ]
p( w | _ ...) = 0.221973 [ -0.653701 ]
p( o | w ...) = 0.174421 [ -0.758402 ]
p( u | o ...) = 0.298767 [ -0.524667 ]
p( l | u ...) = 0.129663 [ -0.887184 ]
p( d | l ...) = 0.127959 [ -0.892928 ]
p( _ | d ...) = 0.306525 [ -0.513534 ]
p( b | _ ...) = 0.238676 [ -0.622191 ]
p( e | b ...) = 0.316659 [ -0.499409 ]
p( _ | e ...) = 0.308905 [ -0.510175 ]
p( g | _ ...) = 0.060810 [ -1.216025 ]
p( o | g ...) = 0.228350 [ -0.641399 ]
p( o | o ...) = 0.310755 [ -0.507582 ]
p( d | o ...) = 0.021102 [ -1.675686 ]
p( _ | d ...) = 0.313410 [ -0.503887 ]
p( f | _ ...) = 0.106340 [ -0.973303 ]
p( o | f ...) = 0.309243 [ -0.509700 ]
p( r | o ...) = 0.311016 [ -0.507217 ]
p( _ | r ...) = 0.312542 [ -0.505091 ]
p( m | _ ...) = 0.080694 [ -1.093158 ]
p( e | m ...) = 0.258953 [ -0.586779 ]
sum logprob = -24.7105, per-symbol logprob = -0.7488, ppl = 5.6079

sentence = 'a n y <sp> m i n u t e <sp> n o w'
p( a | <s> ...) = 0.088923 [ -1.050985 ]
p( n | a ...) = 0.100964 [ -0.995835 ]
p( y | n ...) = 0.051939 [ -1.284509 ]
p( _ | y ...) = 0.284399 [ -0.546072 ]
p( m | _ ...) = 0.019863 [ -1.701953 ]
p( i | m ...) = 0.065120 [ -1.186284 ]
p( n | i ...) = 0.116901 [ -0.932182 ]
p( u | n ...) = 0.115299 [ -0.938173 ]
p( t | u ...) = 0.223438 [ -0.650842 ]
p( e | t ...) = 0.091992 [ -1.036248 ]
p( _ | e ...) = 0.187759 [ -0.726398 ]
p( n | _ ...) = 0.027787 [ -1.556161 ]
p( o | n ...) = 0.259845 [ -0.585285 ]
p( w | o ...) = 0.246996 [ -0.607310 ]
sum logprob = -13.7982, per-symbol logprob = -0.9856, ppl = 9.6736

sentence = 'w h a t <sp> d o <sp> y o u <sp> w a n t'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( d | _ ...) = 0.022595 [ -1.645992 ]
p( o | d ...) = 0.202985 [ -0.692537 ]
p( _ | o ...) = 0.136752 [ -0.864068 ]
p( y | _ ...) = 0.225586 [ -0.646688 ]
p( o | y ...) = 0.317457 [ -0.498316 ]
p( u | o ...) = 0.311412 [ -0.506665 ]
p( _ | u ...) = 0.310332 [ -0.508174 ]
p( w | _ ...) = 0.072345 [ -1.140591 ]
p( a | w ...) = 0.300132 [ -0.522688 ]
p( n | a ...) = 0.310112 [ -0.508482 ]
p( t | n ...) = 0.049487 [ -1.305511 ]
sum logprob = -13.7591, per-symbol logprob = -0.8599, ppl = 7.2434

sentence = 'w h a t <sp> a r e <sp> y o u <sp> h e r e <sp> f o r'
p( w | <s> ...) = 0.053564 [ -1.271127 ]
p( h | w ...) = 0.112809 [ -0.947656 ]
p( a | h ...) = 0.099079 [ -1.004017 ]
p( t | a ...) = 0.068943 [ -1.161509 ]
p( _ | t ...) = 0.291715 [ -0.535042 ]
p( a | _ ...) = 0.095077 [ -1.021925 ]
p( r | a ...) = 0.090119 [ -1.045184 ]
p( e | r ...) = 0.277982 [ -0.555983 ]
p( _ | e ...) = 0.295581 [ -0.529323 ]
p( y | _ ...) = 0.172060 [ -0.764319 ]
p( o | y ...) = 0.317651 [ -0.498050 ]
p( u | o ...) = 0.311409 [ -0.506669 ]
p( _ | u ...) = 0.243888 [ -0.612809 ]
p( h | _ ...) = 0.027598 [ -1.559124 ]
p( e | h ...) = 0.135164 [ -0.869140 ]
p( r | e ...) = 0.177889 [ -0.749852 ]
p( e | r ...) = 0.299164 [ -0.524091 ]
p( _ | e ...) = 0.313228 [ -0.504139 ]
p( f | _ ...) = 0.278032 [ -0.555905 ]
p( o | f ...) = 0.318225 [ -0.497266 ]
p( r | o ...) = 0.311519 [ -0.506516 ]
sum logprob = -16.2196, per-symbol logprob = -0.7724, ppl = 5.9206

sentence = 't h i s <sp> i s <sp> g r e a t'
p( t | <s> ...) = 0.140470 [ -0.852417 ]
p( h | t ...) = 0.177425 [ -0.750985 ]
p( i | h ...) = 0.083186 [ -1.079949 ]
p( s | i ...) = 0.104034 [ -0.982824 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( i | _ ...) = 0.128610 [ -0.890726 ]
p( s | i ...) = 0.208952 [ -0.679953 ]
p( _ | s ...) = 0.295300 [ -0.529737 ]
p( g | _ ...) = 0.016862 [ -1.773092 ]
p( r | g ...) = 0.135708 [ -0.867393 ]
p( e | r ...) = 0.289970 [ -0.537646 ]
p( a | e ...) = 0.309598 [ -0.509202 ]
p( t | a ...) = 0.056036 [ -1.251537 ]
sum logprob = -11.2093, per-symbol logprob = -0.8623, ppl = 7.2820

sentence = 'm a k e s <sp> y o u <sp> w o n d e r'
p( m | <s> ...) = 0.018932 [ -1.722805 ]
p( a | m ...) = 0.120106 [ -0.920436 ]
p( k | a ...) = 0.060180 [ -1.220551 ]
p( e | k ...) = 0.138485 [ -0.858599 ]
p( s | e ...) = 0.111290 [ -0.953542 ]
p( _ | s ...) = 0.313471 [ -0.503802 ]
p( y | _ ...) = 0.046286 [ -1.334550 ]
p( o | y ...) = 0.282161 [ -0.549503 ]
p( u | o ...) = 0.309734 [ -0.509010 ]
p( _ | u ...) = 0.228101 [ -0.641873 ]
p( w | _ ...) = 0.104752 [ -0.979839 ]
p( o | w ...) = 0.154283 [ -0.811682 ]
p( n | o ...) = 0.265812 [ -0.575426 ]
p( d | n ...) = 0.309909 [ -0.508765 ]
p( e | d ...) = 0.319007 [ -0.496200 ]
p( r | e ...) = 0.261463 [ -0.582589 ]
sum logprob = -13.1692, per-symbol logprob = -0.8231, ppl = 6.6539

sentence = 'i <sp> w o u l d <sp> l i k e <sp> o t <sp> l a y <sp> f l a t'
p( i | <s> ...) = 0.122180 [ -0.913001 ]
p( _ | i ...) = 0.103123 [ -0.986643 ]
p( w | _ ...) = 0.069306 [ -1.159229 ]
p( o | w ...) = 0.091403 [ -1.039040 ]
p( u | o ...) = 0.198606 [ -0.702009 ]
p( l | u ...) = 0.087658 [ -1.057210 ]
p( d | l ...) = 0.071516 [ -1.145595 ]
p( _ | d ...) = 0.291836 [ -0.534861 ]
p( l | _ ...) = 0.080290 [ -1.095337 ]
p( i | l ...) = 0.239204 [ -0.621232 ]
p( k | i ...) = 0.285575 [ -0.544279 ]
p( e | k ...) = 0.318785 [ -0.496502 ]
p( _ | e ...) = 0.289511 [ -0.538334 ]
p( o | _ ...) = 0.045032 [ -1.346475 ]
p( t | o ...) = 0.092375 [ -1.034446 ]
p( _ | t ...) = 0.050247 [ -1.298886 ]
p( l | _ ...) = 0.022028 [ -1.657027 ]
p( a | l ...) = 0.064438 [ -1.190858 ]
p( y | a ...) = 0.037628 [ -1.424489 ]
p( _ | y ...) = 0.221362 [ -0.654897 ]
p( f | _ ...) = 0.030261 [ -1.519118 ]
p( l | f ...) = 0.098919 [ -1.004721 ]
p( a | l ...) = 0.240370 [ -0.619120 ]
p( t | a ...) = 0.086253 [ -1.064226 ]
sum logprob = -23.6475, per-symbol logprob = -0.9853, ppl = 9.6675

sentence = 'c a n <sp> y o u <sp> h e l p <sp> m e <sp> s e t <sp> u p <sp> m y <sp> i p a d'
p( c | <s> ...) = 0.052792 [ -1.277431 ]
p( a | c ...) = 0.075213 [ -1.123710 ]
p( n | a ...) = 0.082203 [ -1.085114 ]
p( _ | n ...) = 0.249642 [ -0.602683 ]
p( y | _ ...) = 0.049816 [ -1.302630 ]
p( o | y ...) = 0.276756 [ -0.557902 ]
p( u | o ...) = 0.309901 [ -0.508776 ]
p( _ | u ...) = 0.260915 [ -0.583501 ]
p( h | _ ...) = 0.047493 [ -1.323372 ]
p( e | h ...) = 0.177746 [ -0.750201 ]
p( l | e ...) = 0.191586 [ -0.717635 ]
p( p | l ...) = 0.306797 [ -0.513148 ]
p( _ | p ...) = 0.313339 [ -0.503986 ]
p( m | _ ...) = 0.192012 [ -0.716671 ]
p( e | m ...) = 0.302822 [ -0.518813 ]
p( _ | e ...) = 0.313104 [ -0.504311 ]
p( s | _ ...) = 0.023755 [ -1.624237 ]
p( e | s ...) = 0.148095 [ -0.829460 ]
p( t | e ...) = 0.151949 [ -0.818303 ]
p( _ | t ...) = 0.276567 [ -0.558200 ]
p( u | _ ...) = 0.178655 [ -0.747984 ]
p( p | u ...) = 0.306990 [ -0.512875 ]
p( _ | p ...) = 0.313323 [ -0.504008 ]
p( m | _ ...) = 0.087154 [ -1.059713 ]
p( y | m ...) = 0.291888 [ -0.534783 ]
p( _ | y ...) = 0.312159 [ -0.505624 ]
